term,estimate,std_error,t_value,p_value,model,group,n_obs,r_squared,adj_r_squared
new_products_lag1,0.00085358620026258,0.000900291081932456,0.948122465492356,0.343067246963334,Model_A,push_0,1746412,0.213558979169204,0.194941897316785
removed_lag1,-0.000718022093189273,0.000384833830685411,-1.86579774421193,0.062069839546128,Model_A,push_0,1746412,0.213558979169204,0.194941897316785
new_products_lag1,0.000921387649837675,0.00040250486062836,2.28913421914775,0.0220715897666857,Model_A,push_1,6163008,0.220394014568043,0.19831605668764
removed_lag1,-0.000750720061558624,0.000169898554547216,-4.41863713060604,9.93269886803579e-06,Model_A,push_1,6163008,0.220394014568043,0.19831605668764
new_products_lag1,0.0011173384775567,0.000369843817619761,3.02110897715597,0.0025185152491089,Model_A_with_pushes,combined,7909420,0.223472393878967,0.202306135129203
removed_lag1,-0.000716739906420855,0.000156525578252742,-4.57905931044403,4.67079046649969e-06,Model_A_with_pushes,combined,7909420,0.223472393878967,0.202306135129203
total_pushes,-0.0435201854884062,0.000213838834822263,-203.518624316201,0,Model_A_with_pushes,combined,7909420,0.223472393878967,0.202306135129203
new_products_lag1,0.00111151112905313,0.000369828053702307,3.00548083880041,0.00265162155935507,Model_A_with_trigger_pushes,combined,7909420,0.223538618609149,0.202373957797117
removed_lag1,-0.000714798302561842,0.00015651894494126,-4.56684845933571,4.9511932525398e-06,Model_A_with_trigger_pushes,combined,7909420,0.223538618609149,0.202373957797117
pushes_trigger_1,-0.0400165693918829,0.000373252043125308,-107.210583649635,0,Model_A_with_trigger_pushes,combined,7909420,0.223538618609149,0.202373957797117
pushes_trigger_2,-0.0623047553945031,0.000543768342010054,-114.57959314842,0,Model_A_with_trigger_pushes,combined,7909420,0.223538618609149,0.202373957797117
pushes_trigger_3,-0.029270403985997,0.000951132707412757,-30.774258689534,5.96469952146157e-208,Model_A_with_trigger_pushes,combined,7909420,0.223538618609149,0.202373957797117
new_products_lag1,0.000919081455520725,0.000897902957699227,1.02358662218439,0.306030711730723,Model_B_threshold_4,push_0,1746412,0.221547594676118,0.20311775550589
removed_lag1,-0.000570857935254145,0.000383269411026695,-1.48944298404859,0.136370941602684,Model_B_threshold_4,push_0,1746412,0.221547594676118,0.20311775550589
sleep_gt_4,-0.128833648997759,0.0021795113968355,-59.1112527261003,0,Model_B_threshold_4,push_0,1746412,0.221547594676118,0.20311775550589
total_pushes,-0.0351058214742308,0.000552005415940435,-63.5968786908043,0,Model_B_threshold_4,push_0,1746412,0.221547594676118,0.20311775550589
sleep_gt_4:new_products,-0.00509955852916499,0.000577790690710284,-8.82596173866362,1.08622132857601e-18,Model_B_threshold_4,push_0,1746412,0.221547594676118,0.20311775550589
sleep_gt_4:removed,0.000614002639221884,0.000390023023419729,1.57427280532902,0.115424579425906,Model_B_threshold_4,push_0,1746412,0.221547594676118,0.20311775550589
new_products_lag1,0.00101852432628865,0.000401859661077187,2.53452741078437,0.0112599369633005,Model_B_threshold_4,push_1,6163008,0.226517981757383,0.204612919976271
removed_lag1,-0.000612709376422709,0.00016942710997843,-3.61635972248309,0.000298777558568983,Model_B_threshold_4,push_1,6163008,0.226517981757383,0.204612919976271
sleep_gt_4,-0.094220094974299,0.00103658696005935,-90.8945400672461,0,Model_B_threshold_4,push_1,6163008,0.226517981757383,0.204612919976271
total_pushes,-0.0283296939500135,0.000253305038336088,-111.840230798826,0,Model_B_threshold_4,push_1,6163008,0.226517981757383,0.204612919976271
sleep_gt_4:new_products,-0.00325300222057422,0.000268598941774935,-12.1110016259855,9.24434208873883e-34,Model_B_threshold_4,push_1,6163008,0.226517981757383,0.204612919976271
sleep_gt_4:removed,0.0002154028253822,0.000172143987159057,1.25129450605308,0.210827097999739,Model_B_threshold_4,push_1,6163008,0.226517981757383,0.204612919976271
new_products_lag1,-0.000152670114018555,0.000822773517800488,-0.185555454466602,0.852793411036987,Model_C,push_0,1746412,0.211375366397819,0.192706119612727
removed_lag1,-0.000602263890433194,0.000351697372596803,-1.71244921730947,0.086814097295051,Model_C,push_0,1746412,0.211375366397819,0.192706119612727
total_pushes,-0.0447559937110755,0.000470162730083217,-95.192559612613,0,Model_C,push_0,1746412,0.211375366397819,0.192706119612727
new_products_lag1,2.51727843951876e-05,0.000370461671583563,0.0679497673472802,0.94582562392143,Model_C,push_1,6163008,0.216699147995135,0.194516419387723
removed_lag1,-0.000628407902184688,0.000156372461153154,-4.0186609429215,5.85305376446918e-05,Model_C,push_1,6163008,0.216699147995135,0.194516419387723
total_pushes,-0.0354946337036905,0.000215036632509312,-165.063195463468,0,Model_C,push_1,6163008,0.216699147995135,0.194516419387723
new_products_lag1,0.00134344726281266,0.000913787129661372,1.47019718182123,0.141508542180382,Model_A_distributed,push_0,1746412,0.218350455815926,0.199844455453011
new_products_lag2,-2.91919557504392e-05,0.000908664888170675,-0.0321262064051011,0.974371408262469,Model_A_distributed,push_0,1746412,0.218350455815926,0.199844455453011
new_products_lag3,0.000971124946056596,0.000877405354509839,1.10681447413677,0.268374305054702,Model_A_distributed,push_0,1746412,0.218350455815926,0.199844455453011
removed_lag1,-0.000972459278768526,0.000386919174313611,-2.51333958957618,0.0119595065788324,Model_A_distributed,push_0,1746412,0.218350455815926,0.199844455453011
removed_lag2,-0.00145503666559017,0.000397620533274404,-3.65935997723243,0.00025285356746523,Model_A_distributed,push_0,1746412,0.218350455815926,0.199844455453011
removed_lag3,-0.00140250708975377,0.000403322439906212,-3.47738422409601,0.000506344267207833,Model_A_distributed,push_0,1746412,0.218350455815926,0.199844455453011
total_pushes,-0.0523843054547966,0.000512894503490915,-102.1346594636,0,Model_A_distributed,push_0,1746412,0.218350455815926,0.199844455453011
new_products_lag1,0.00149497138307238,0.000407642256059617,3.66736117477906,0.0002450686427828,Model_A_distributed,push_1,6163008,0.224422561242856,0.202458023941773
new_products_lag2,0.00121899057765525,0.00040363945913428,3.0199985409497,0.0025277696726477,Model_A_distributed,push_1,6163008,0.224422561242856,0.202458023941773
new_products_lag3,-0.000109930719734446,0.000389666714421487,-0.282114729500705,0.777855549003465,Model_A_distributed,push_1,6163008,0.224422561242856,0.202458023941773
removed_lag1,-0.00089472589611384,0.000170893403362438,-5.23557889602248,1.64474075713953e-07,Model_A_distributed,push_1,6163008,0.224422561242856,0.202458023941773
removed_lag2,-0.00114183634960338,0.000175583379575986,-6.5031004207846,7.86873778794743e-11,Model_A_distributed,push_1,6163008,0.224422561242856,0.202458023941773
removed_lag3,-0.00094841931225113,0.000177993817012669,-5.3283834695428,9.90943044278135e-08,Model_A_distributed,push_1,6163008,0.224422561242856,0.202458023941773
total_pushes,-0.0410654186217574,0.000233034381482092,-176.220428764986,0,Model_A_distributed,push_1,6163008,0.224422561242856,0.202458023941773
